Metabolite_name	RefMet_name	3058(1)-01_12_1_748	3058(1)-02_12_1_749	3058(2)-01_13_1_750	3058(2)-02_13_1_751	3058(3)-01_14_1_752	3058(3)-02_14_1_753	3058(4)-01_15_1_754	3058(4)-02_15_1_755	3058(5)-01_16_1_756	3058(5)-02_16_1_757	3066(1)-01_7_1_738	3066(1)-02_7_1_739	3066(2)-01_8_1_740	3066(2)-02_8_1_741	3066(3)-01_9_1_742	3066(3)-02_9_1_743	3066(4)-01_10_1_744	3066(4)-02_10_1_745	3066(5)-01_11_1_746	3066(5)-02_11_1_747	CR1-01_2_1_728	CR1-02_2_1_729	CR2-01_3_1_730	CR2-02_3_1_731	CR3-01_4_1_732	CR3-02_4_1_733	CR4-01_5_1_734	CR4-02_5_1_735	CR5-01_6_1_736	CR5-02_6_1_737
Factors	-	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control
Hypoxanthine	Hypoxanthine	60240	59716	81760	88798	52356	52060	63012	50006	65918	70404	79146	52476	79448	92944	96842	79570	84946	90876	78356	78838	25532	27102	69764	68714	44968	46452	40082	34900	65958	67260
Indole	Indole	2970	4216	3842	2950	3228	3738	3542	3514	3132	2814	3824	2926	3876	3052	3676	2694	3614	2900	2290	3434	2802	2628	2672	2942	2986	2570	4052	2762	3290	2638
Indoleacrylic acid	Indoleacrylic acid	81454	91862	93164	86246	82900	78838	92558	92174	62508	70950	68354	89296	98096	84258	76064	84886	82558	83242	74314	72478	79344	68150	76932	77898	74342	72420	76280	62908	76454	70478
Inosine	Inosine	11814	9900	19362	17042	9550	8888	14234	10190	14092	14354	16126	13868	15940	17778	24062	22842	17084	22324	17006	13254	3028	4544	14832	10546	7356	6450	5846	7324	11418	12696
Isobutyric acid	Isobutyric acid	71490	81854	74532	64764	7710	54310	61426	52818			37404			63186		83618	70558	67158	58074	72892			87620	70166	89430	65084		64464	75426	67192
Isovalerylcarnitine	CAR 4:0;3Me	6580	5976	6710	6210	5012	5420	5692	5988	4628	5692	6264	6626	6012	6082	5954	5720	5966	5000	4996	5704	3416	3000	4016	3248	3322	2616	3252	3004	3676	3866
Kynurenic acid	Kynurenic acid	1320	1548	924			1036	812	866	740	696	754	824	920	748	732	858	948	1074	826		1508	1722	518		1014	1502		1148	700	868
L-Acetylcarnitine	CAR 2:0	28038	33254	39852	35166	27946	32860	27238	29712	31312	29770	32212	35598	38688	38944	36190	33150	35500	34436	28784	32098	26244	29150	31644	34756	25464	32538	23274	27958	29920	36456
L-Carnitine	Carnitine	6562	6026	5340	5146	4668	4600	4580	4664	4492	3994	5648	5504	6454	6156	4972	5168	5924	5416	4656	4962	6970	7030	5968	4980	6172	6826	5766	5860	5170	5430
L-Glutamic acid	Glutamic acid	14156	13112	13768	11794	12348	12164	4226	3460	7728	7212	6724	7564	12356	12264	5910	5842	10014	9794	11892	11596	12894	14180	9896	9828	13662	14352	14672	14978	10962	11654
